ISO3,period,probability,year,era_mwtemp,era_mwprecip,cru_mwtemp,cru_mwprecip
KOR,1990-2020,0.92,1990,12.232659912109398,4.378844309637013,11.641958830257257,144.17610716819763
KOR,2021-2100,0.94,1990,12.232659912109398,4.378844309637013,11.641958830257257,144.17610716819763
KWT,1990-2020,0.99,1990,26.249447123209677,0.13607568536144754,25.35517915089925,6.325837120569001
KWT,2021-2100,0.99,1990,26.249447123209677,0.13607568536144754,25.35517915089925,6.325837120569001
LAO,1990-2020,0.99,1990,23.51251118977865,5.81783834544088,24.19161017735799,173.69265611966452
LAO,2021-2100,0.99,1990,23.51251118977865,5.81783834544088,24.19161017735799,173.69265611966452
LBN,1990-2020,0.99,1990,16.168758646647177,1.1601240668521011,15.08986520767212,34.68843190806607
LBN,2021-2100,0.99,1990,16.168758646647177,1.1601240668521011,15.08986520767212,34.68843190806607
LBR,1990-2020,0.99,1990,24.99360300699874,6.603746577942123,25.499274094899494,180.99809090296426
LBR,2021-2100,0.99,1990,24.99360300699874,6.603746577942123,25.499274094899494,180.99809090296426
LKA,1990-2020,0.99,1990,25.36907094319662,5.901285194947074,26.54515727361043,173.22828467686972
LKA,2021-2100,0.99,1990,25.36907094319662,5.901285194947074,26.54515727361043,173.22828467686972
LSO,1990-2020,0.9299999999999999,1990,11.707315063476585,2.621358015555112,12.364628752072653,55.00221105416616
LSO,2021-2100,0.96,1990,11.707315063476585,2.621358015555112,12.364628752072653,55.00221105416616
LTU,1990-2020,0.5299999999999999,1990,8.203897094726585,2.4641093283814066,8.016477320343256,63.44455989201864
LTU,2021-2100,0.5799999999999998,1990,8.203897094726585,2.4641093283814066,8.016477320343256,63.44455989201864
LUX,1990-2020,0.75,1990,9.670060729980491,2.411434926519481,10.0661172469457,73.06709575653076
LUX,2021-2100,0.77,1990,9.670060729980491,2.411434926519481,10.0661172469457,73.06709575653076
LVA,1990-2020,0.52,1990,7.908942159016931,2.5592943760178364,7.483371814092,69.00623635451
LVA,2021-2100,0.5500000000000002,1990,7.908942159016931,2.5592943760178364,7.483371814092,69.00623635451
MAR,1990-2020,0.99,1990,17.70502624511721,1.0840440339355457,17.278345266977947,29.707011943062145
MAR,2021-2100,0.99,1990,17.70502624511721,1.0840440339355457,17.278345266977947,29.707011943062145
MDA,1990-2020,0.85,1990,11.201351420084677,1.2872405980791275,10.715746397773424,34.463979840278625
MDA,2021-2100,0.88,1990,11.201351420084677,1.2872405980791275,10.715746397773424,34.463979840278625
MDG,1990-2020,0.99,1990,20.651030476888025,3.5726799202772477,20.885428587595623,99.49500465393066
MDG,2021-2100,0.99,1990,20.651030476888025,3.5726799202772477,20.885428587595623,99.49500465393066
MEX,1990-2020,0.99,1990,19.011511739095056,3.0010958580533043,19.533649682998657,85.78353595733643
MEX,2021-2100,0.99,1990,19.011511739095056,3.0010958580533043,19.533649682998657,85.78353595733643
MKD,1990-2020,0.88,1990,11.33686218261721,1.424761086430711,10.433872746924559,42.08993526299795
MKD,2021-2100,0.92,1990,11.33686218261721,1.424761086430711,10.433872746924559,42.08993526299795
MLI,1990-2020,0.99,1990,28.397500610351585,1.6322012133827002,28.55556042989095,53.22456520359265
MLI,2021-2100,0.99,1990,28.397500610351585,1.6322012133827002,28.55556042989095,53.22456520359265
MNE,1990-2020,0.87,1990,11.096635437011741,4.016461588131885,9.246573331455389,74.9314063390096
MNE,2021-2100,0,1990,11.096635437011741,4.016461588131885,9.246573331455389,74.9314063390096
MNG,1990-2020,0.09000000000000001,1990,0.018641408284508998,1.1464345449591444,-0.7021091431379318,29.669055928786594
MNG,2021-2100,0.09000000000000001,1990,0.018641408284508998,1.1464345449591444,-0.7021091431379318,29.669055928786594
MOZ,1990-2020,0.99,1990,23.44591420491537,2.2507909622315005,23.79475434621175,69.93148191769917
MOZ,2021-2100,0.99,1990,23.44591420491537,2.2507909622315005,23.79475434621175,69.93148191769917
MRT,1990-2020,0.99,1990,28.97267557779952,0.34013140939729664,29.080042997996014,15.290614437156668
